workspace,project_key,repo_slug,repo_name,is_private,main_branch,language,created_on,updated_on,size_bytes,html_url,https_url,ssh_url
"arkho","COOPM","coopeuch-origen-administradoridg","administradoridg",true,"master","","2024-12-10T12:19:51.276391+00:00","2025-08-12T16:22:06.784770+00:00",2706737,"https://bitbucket.org/arkho/coopeuch-origen-administradoridg","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-administradoridg.git","git@bitbucket.org:arkho/coopeuch-origen-administradoridg.git"
"arkho","COOPM","coopeuch-origen-almacendatos","almacendatos",true,"master","","2024-12-10T12:19:52.917118+00:00","2025-08-12T19:49:00.461308+00:00",1238168,"https://bitbucket.org/arkho/coopeuch-origen-almacendatos","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-almacendatos.git","git@bitbucket.org:arkho/coopeuch-origen-almacendatos.git"
"arkho","COOPM","coopeuch-origen-amqactualizacionfinanciera","amqactualizacionfinanciera",true,"master","","2024-12-10T12:19:54.697915+00:00","2025-08-12T19:42:22.763162+00:00",1342859,"https://bitbucket.org/arkho/coopeuch-origen-amqactualizacionfinanciera","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-amqactualizacionfinanciera.git","git@bitbucket.org:arkho/coopeuch-origen-amqactualizacionfinanciera.git"
"arkho","COOPM","coopeuch-origen-amqregistrosinacofi","amqregistrosinacofi",true,"master","","2024-12-10T12:19:56.461514+00:00","2024-12-17T16:02:20.321205+00:00",267513,"https://bitbucket.org/arkho/coopeuch-origen-amqregistrosinacofi","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-amqregistrosinacofi.git","git@bitbucket.org:arkho/coopeuch-origen-amqregistrosinacofi.git"
"arkho","COOPM","coopeuch-origen-amqticketdocumento","amqticketdocumento",true,"master","","2024-12-10T12:19:58.047446+00:00","2025-08-21T05:21:51.459020+00:00",206075,"https://bitbucket.org/arkho/coopeuch-origen-amqticketdocumento","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-amqticketdocumento.git","git@bitbucket.org:arkho/coopeuch-origen-amqticketdocumento.git"
"arkho","COOPM","coopeuch-origen-autenticacion","autenticacion",true,"master","","2024-12-10T12:19:59.416782+00:00","2025-07-23T00:13:55.326589+00:00",1388568,"https://bitbucket.org/arkho/coopeuch-origen-autenticacion","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-autenticacion.git","git@bitbucket.org:arkho/coopeuch-origen-autenticacion.git"
"arkho","COOPM","coopeuch-origen-banco","banco",true,"master","","2024-12-10T12:20:00.957033+00:00","2025-08-12T20:36:40.742448+00:00",1146831,"https://bitbucket.org/arkho/coopeuch-origen-banco","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-banco.git","git@bitbucket.org:arkho/coopeuch-origen-banco.git"
"arkho","COOPM","coopeuch-origen-campanaibs","campanaibs",true,"master","","2024-12-10T12:20:03.201328+00:00","2025-08-12T19:49:31.330714+00:00",260798,"https://bitbucket.org/arkho/coopeuch-origen-campanaibs","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-campanaibs.git","git@bitbucket.org:arkho/coopeuch-origen-campanaibs.git"
"arkho","COOPM","coopeuch-origen-ccd-6021","ccd-6021",true,"master","","2024-12-10T12:20:04.924900+00:00","2024-12-10T12:20:05.022384+00:00",33348,"https://bitbucket.org/arkho/coopeuch-origen-ccd-6021","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-ccd-6021.git","git@bitbucket.org:arkho/coopeuch-origen-ccd-6021.git"
"arkho","COOPM","coopeuch-origen-ccol-5621","ccol-5621",true,"master","","2024-12-10T12:20:06.682005+00:00","2024-12-17T16:02:36.726241+00:00",75787,"https://bitbucket.org/arkho/coopeuch-origen-ccol-5621","https://psalguero444@bitbucket.org/arkho/coopeuch-origen-ccol-5621.git","git@bitbucket.org:arkho/coopeuch-origen-ccol-5621.git"
