Nombre_Slug_Repositorio,Estado
coopeuch-migracion-cdig-rsfirmatoc,OK
coopeuch-migracion-convenios-rsauditoria,OK
coopeuch-migracion-convenios-rsautenticacionidg,OK
coopeuch-migracion-convenios-rsbeneficiosportalconvenios,OK
coopeuch-migracion-convenios-rsdetallesplanilla,OK
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,OK
coopeuch-migracion-convenios-rsotpidg,OK
coopeuch-migracion-convenios-rsplanillaconvenio,OK
coopeuch-migracion-convenios-rsserviciopermisosusuario,OK
coopeuch-migracion-convenios-rsserviciousuarioconvenio,OK
coopeuch-migracion-convenios-rssolicitudconvenio,OK
coopeuch-migracion-convenios-rssolicitudcreditovb,OK
coopeuch-migracion-convenios-rsusuarioportalconvenios,OK
coopeuch-migracion-convenios-rsvistobueno,OK
coopeuch-migracion-corredoraseguros-rscobertura,OK
coopeuch-migracion-corredoraseguros-rscomision,OK
coopeuch-migracion-corredoraseguros-rscomisionsecuencia,OK
coopeuch-migracion-corredoraseguros-rscompania,OK
coopeuch-migracion-corredoraseguros-rsgestionseguro,OK
coopeuch-migracion-corredoraseguros-rsparametrosgenerales,OK
coopeuch-migracion-corredoraseguros-rsplan,OK
coopeuch-migracion-corredoraseguros-rsproducto,OK
coopeuch-migracion-corredoraseguros-rsseguro,OK
coopeuch-migracion-corredoraseguros-rssegurosgenerales,OK
coopeuch-migracion-corredoraseguros-rssegurowrapper,OK
coopeuch-migracion-crm-rscreditolisto,OK
coopeuch-migracion-crm-rscrmivic,OK
coopeuch-migracion-crm-rshorario,OK
coopeuch-migracion-crm-rsportabilidad,OK
coopeuch-migracion-crm-rsregistroatencion,OK
coopeuch-migracion-crm-rsreprogramacioncredito,OK
coopeuch-migracion-crm-rsreprogramacioncuotas,OK
coopeuch-migracion-crm-rsrequerimientooficio,OK
coopeuch-migracion-crm-rsrequerimientosembargo,OK
coopeuch-migracion-crm-rssincronizacion,OK
coopeuch-migracion-crm-rssolicitudessocio,OK
coopeuch-migracion-crm-rssolicitudesweb,OK
coopeuch-migracion-dale-rscuentavista,OK
coopeuch-migracion-dale-rstarjetaprepago,OK
coopeuch-migracion-devops,OK
coopeuch-migracion-merp-rscalcularpmt,OK
coopeuch-migracion-migration-tools,OK
coopeuch-migracion-mq-log,OK
coopeuch-migracion-mq-logcalculoscredito,OK
coopeuch-migracion-mq-lognotificaciones-ci,OK
coopeuch-migracion-mq-logtef,OK
coopeuch-migracion-mqactualizacionfinanciera,OK
coopeuch-migracion-mqconectorsinacofi,OK
coopeuch-migracion-mqnotificacioncredito-ci,OK
coopeuch-migracion-mqnotificacionsolicitud-ci,OK
coopeuch-migracion-mqnotificacionteflifa-ci,OK
coopeuch-migracion-mqregistrarsimulacionbigdata-ci,OK
coopeuch-migracion-mqticketdocumento,OK
coopeuch-migracion-nominastef-rsparametros,OK
coopeuch-migracion-nominastef-rsvalidatef,OK
coopeuch-migracion-prueba-jorge-coopeuch,OK
coopeuch-migracion-rs3ds,OK
coopeuch-migracion-rsabonomasivoremuneraciones,OK
coopeuch-migracion-rsactualizacionfinanciera,OK
coopeuch-migracion-rsadministracionconveniopauta,OK
coopeuch-migracion-rsadministradoridg,OK
coopeuch-migracion-rsagendamientoproductos,OK
coopeuch-migracion-rsahorroautomatico,OK
coopeuch-migracion-rsajustemandatocreditohipotecario,OK
coopeuch-migracion-rsalmacendatos,OK
coopeuch-migracion-rsautenticacion,OK
coopeuch-migracion-rsautenticacioninterna,OK
coopeuch-migracion-rsbanco,OK
coopeuch-migracion-rsbonoescolaridad,OK
coopeuch-migracion-rsbotonpago,OK
coopeuch-migracion-rscajero,OK
coopeuch-migracion-rscalculadora,OK
coopeuch-migracion-rscalcularpmt,OK
coopeuch-migracion-rscalculoscredito,OK
coopeuch-migracion-rscampana,OK
coopeuch-migracion-rscampanaibs,OK
coopeuch-migracion-rscampanamigraciontd,OK
coopeuch-migracion-rscampanawf,OK
coopeuch-migracion-rscarroabandonadowhatsapp,OK
coopeuch-migracion-rscartolaconsumo,OK
coopeuch-migracion-rscatalogosuma,OK
coopeuch-migracion-rscertificado,OK
coopeuch-migracion-rscertificadorenta,OK
coopeuch-migracion-rschequetercero,OK
coopeuch-migracion-rscifrado,OK
coopeuch-migracion-rscifradotef,OK
coopeuch-migracion-rscliente,OK
coopeuch-migracion-rscondicionescomerciales,OK
coopeuch-migracion-rsconstanciadeprepago,OK
coopeuch-migracion-rsconstanciapago,OK
coopeuch-migracion-rsconsultacontrato,OK
coopeuch-migracion-rsconsultatasas,OK
coopeuch-migracion-rscontrato,OK
coopeuch-migracion-rscontroversiadocumento,OK
coopeuch-migracion-rsconvenios,OK
coopeuch-migracion-rscoop,OK
coopeuch-migracion-rscoopeuch,OK
coopeuch-migracion-rscoopeuchpass,OK
coopeuch-migracion-rscoopeuchpassmovil,OK
coopeuch-migracion-rscorredoraseguros,OK
coopeuch-migracion-rscreditohipotecario,OK
coopeuch-migracion-rscreditohipotecariows,OK
coopeuch-migracion-rscreditolisto,OK
coopeuch-migracion-rscreditomype,OK
coopeuch-migracion-rscreditopda,OK
coopeuch-migracion-rscreditoplanillaweb,OK
coopeuch-migracion-rscreditosconsumo,OK
coopeuch-migracion-rscreditoscoring,OK
coopeuch-migracion-rscuentaahorro,OK
coopeuch-migracion-rscuentas,OK
coopeuch-migracion-rscuentavista,OK
coopeuch-migracion-rscuotaparticipacion,OK
coopeuch-migracion-rsdap,OK
coopeuch-migracion-rsdatosdocumentos,OK
coopeuch-migracion-rsdatosfraudecca,OK
coopeuch-migracion-rsdatosgeograficos,OK
coopeuch-migracion-rsdatosmerp,OK
coopeuch-migracion-rsdeposito,OK
coopeuch-migracion-rsdesafio,OK
coopeuch-migracion-rsdesafiosinacofi,OK
coopeuch-migracion-rsdesbloqueotarjetas,OK
coopeuch-migracion-rsdescargadocumento,OK
coopeuch-migracion-rsdestinatario,OK
coopeuch-migracion-rsdestinatariosconvenio,OK
coopeuch-migracion-rsdirecciones,OK
coopeuch-migracion-rsdocportabilidadfinanciera,OK
coopeuch-migracion-rsdocumento,OK
coopeuch-migracion-rseeccnexus,OK
coopeuch-migracion-rsejecutivo,OK
coopeuch-migracion-rsembargo,
coopeuch-migracion-rsempresa,
coopeuch-migracion-rsencuesta,
coopeuch-migracion-rsenrolamiento,
coopeuch-migracion-rsenrolamientoabonoremuneraciones,
coopeuch-migracion-rsenvioemail,
coopeuch-migracion-rsevaluacioncredito,
coopeuch-migracion-rsevaluacionpersona,
coopeuch-migracion-rsevaluacionsolicitudesweb,
coopeuch-migracion-rsfactoresautenticacion,
coopeuch-migracion-rsfirmasinacofi,
coopeuch-migracion-rsfirmatoc,
coopeuch-migracion-rsformalizacionweb,
coopeuch-migracion-rsfraude,
coopeuch-migracion-rsfuncionario,
coopeuch-migracion-rsgestioncredito,
coopeuch-migracion-rsgestionnominastef,
coopeuch-migracion-rsgestionpagoexpress,
coopeuch-migracion-rsgestionpintarjeta,
coopeuch-migracion-rsgestiontarjetacredito,
coopeuch-migracion-rsgestiontoken,
coopeuch-migracion-rsgestorenviopago,
coopeuch-migracion-rsindicadoresfinancieros,
coopeuch-migracion-rsinfogestioncredito,
coopeuch-migracion-rsinfopersona,
coopeuch-migracion-rsinfopuntos,
coopeuch-migracion-rsinformaciondemografica,
coopeuch-migracion-rsinstitucioncompracartera,
coopeuch-migracion-rsinversiones,
coopeuch-migracion-rsips,
coopeuch-migracion-rsldap,
coopeuch-migracion-rsliquidacionestalana-ci,
coopeuch-migracion-rslistanegra,
coopeuch-migracion-rslog,
coopeuch-migracion-rslogplataformas,
coopeuch-migracion-rsmandatosproductos,
coopeuch-migracion-rsmantenedorconvenios,
coopeuch-migracion-rsmantenedorcuenta,
coopeuch-migracion-rsmantenedordestinatario,
coopeuch-migracion-rsmarcadoresfuncionalidades,
coopeuch-migracion-rsmediosdepago,
coopeuch-migracion-rsmensajesocio,
coopeuch-migracion-rsmesavisado,
coopeuch-migracion-rsmigracionbonos,
coopeuch-migracion-rsminvu,
coopeuch-migracion-rsmodeloatencion,
coopeuch-migracion-rsmonedero,
coopeuch-migracion-rsmonitorprevired,
coopeuch-migracion-rsmotorriesgo,
coopeuch-migracion-rsmovimientostransferencia,
coopeuch-migracion-rsnominastef,
coopeuch-migracion-rsnotificacion,
coopeuch-migracion-rsnotificaciones,
coopeuch-migracion-rsnotificacionmovil,
coopeuch-migracion-rsofertassociowf,
coopeuch-migracion-rspago,
coopeuch-migracion-rspagocuentas,
coopeuch-migracion-rspagoexpress,
coopeuch-migracion-rspagosqr,
coopeuch-migracion-rsparametro,
coopeuch-migracion-rsparametroscrm,
coopeuch-migracion-rsparametrosenrolamiento,
coopeuch-migracion-rsparametrosgenerales,
coopeuch-migracion-rspatpass,
coopeuch-migracion-rspensionado-ci,
coopeuch-migracion-rspensionadosseguros,
coopeuch-migracion-rspensionalimentos,
coopeuch-migracion-rspersona,
coopeuch-migracion-rsplanillaconvenio,
